Date,USA_StringencyIndex,USA_StringencyIndex_LogChange,USA_StringencyIndex_Cumulative,USA_StringencyLegacyIndex,USA_StringencyLegacyIndex_LogChange,USA_StringencyLegacyIndex_Cumulative,USA_GovernmentResponseIndex,USA_GovernmentResponseIndex_LogChange,USA_GovernmentResponseIndex_Cumulative,USA_ContainmentHealthIndex,USA_ContainmentHealthIndex_LogChange,USA_ContainmentHealthIndex_Cumulative,USA_EconomicSupportIndex,USA_EconomicSupportIndex_LogChange,USA_EconomicSupportIndex_Cumulative
2020-06-24,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-25,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-26,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-27,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-28,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-29,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-30,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-07-01,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,70.24,0.02544739,4.266054540872574,71.53,0.029238986,4.284000255167484,62.5,0.0,4.151040077209473
2020-07-02,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,70.24,0.0,4.266054540872574,71.53,0.0,4.284000255167484,62.5,0.0,4.151040077209473
2020-07-03,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,70.24,0.0,4.266054540872574,71.53,0.0,4.284000255167484,62.5,0.0,4.151040077209473
2020-07-04,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,70.24,0.0,4.266054540872574,71.53,0.0,4.284000255167484,62.5,0.0,4.151040077209473
2020-07-05,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,70.24,0.0,4.266054540872574,71.53,0.0,4.284000255167484,62.5,0.0,4.151040077209473
2020-07-06,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,70.24,0.0,4.266054540872574,71.53,0.0,4.284000255167484,62.5,0.0,4.151040077209473
2020-07-07,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,70.24,0.0,4.266054540872574,71.53,0.0,4.284000255167484,62.5,0.0,4.151040077209473
2020-07-08,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,70.24,0.0,4.266054540872574,71.53,0.0,4.284000255167484,62.5,0.0,4.151040077209473
2020-07-09,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,70.24,0.0,4.266054540872574,71.53,0.0,4.284000255167484,62.5,0.0,4.151040077209473
2020-07-10,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,70.24,0.0,4.266054540872574,71.53,0.0,4.284000255167484,62.5,0.0,4.151040077209473
2020-07-11,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,70.24,0.0,4.266054540872574,71.53,0.0,4.284000255167484,62.5,0.0,4.151040077209473
2020-07-12,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,70.24,0.0,4.266054540872574,71.53,0.0,4.284000255167484,62.5,0.0,4.151040077209473
